## Master file format version 2.0           2022.11.01 CAD&CCT

                         2024 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - October 30, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR       STATIONS                             SKED CORR  STATUS  DBC  SUBM DEL 
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                     yyyymmdd CODE      days 
--------------------------------------------------------------------------------------------------------------------------------
|IVS-INT-1   |20240214|i24045      | 45|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240214|v24045      | 45|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240214|ii4045      | 45|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240215|i24046      | 46|17:30| 1:00|KkSvWz                                   |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240215|v24046      | 46|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20240215|ii4046      | 46|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20240216|i24047      | 47|17:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20240216|v24047      | 47|17:30| 1:00|K2Ws                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-B  |20240217|b24048      | 48|05:30| 1:00|IsOeOw                                   |DACH|GSI |        | VB |NASA|   0|
|VGOS-INT-C  |20240217|c24048      | 48|07:00| 1:00|IsOeOw                                   |DACH|GSI |        | VC |NASA|   0|
|IVS-INT-2   |20240217|q24048      | 48|07:30| 1:00|MkWz                                     |DACH|GSI |        | XK |GSI |   0|
|VGOS-INT-B  |20240218|b24049      | 49|05:30| 1:00|IsOeOw                                   |DACH|GSI |        | VB |NASA|   0|
|VGOS-INT-C  |20240218|c24049      | 49|07:00| 1:00|IsOeOw                                   |DACH|GSI |        | VC |NASA|   0|
|IVS-INT-2   |20240218|q24049      | 49|07:30| 1:00|MkWz                                     |DACH|GSI |        | XK |GSI |   0|
|VGOS-INT-M  |20240219|m24050      | 50|05:30| 1:00|IsNnWs                                   |DACH|BONN|        | VM |NASA|   0|
|IVS-INT-S   |20240219|z24050      | 50|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
